fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.9f71204ece40e327c4c8e4ace0fc3aa7,"04363210,02693413","surface-to-air missile,SAM,air-to-air missile","0.0\,-1.0\,0.0","0.0\,0.0\,1.0",S-200 SA-5 Gammon,
3dw.d15f389919446c40d4a6ba4a33475f32,"04363210,02693413","surface-to-air missile,SAM,air-to-air missile","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Kh-15 AGM,
3dw.f77daf9340eb6faa262f035db428cc4b,"04363210,02693413","surface-to-air missile,SAM,air-to-air missile","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Stand-Alone Surface To Air Single Missile Launcher,
3dw.863f387309a7c684bf88e92fc4e43a8d,"04363210,02693413","surface-to-air missile,SAM,air-to-air missile","0.3825643\,-0.9239289\,0.0","0.0\,0.0\,1.0",Surface to Air Missile,
3dw.ca746c12c01a09b58db04a0e4b407440,"04363210,03773504,04099429,02693413","surface-to-air missile,SAM,missile,rocket,projectile,air-to-air missile","0.0\,0.0\,1.0000001","-1.0000001\,0.0\,0.0",U.S.N   AGM-65 Maverick missile,
3dw.d68e08b2be825d1946f4fa69a8f7f711,04363210,"surface-to-air missile,SAM","0.0\,0.0\,1.0","0.0\,1.0\,0.0",AGM-114 Hellfire,
3dw.3f3232433c2598e779169036b64ab0d9,04363210,"surface-to-air missile,SAM","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",9K38 Igła,
3dw.c486afc7d7184e0457c81888891466e2,"04363210,03773504,02693413","surface-to-air missile,SAM,missile,air-to-air missile","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Aircraft - Lockheed SR-71B Blackbird,
3dw.c55fcaaf3301f97e978efdfd2ccd8bdb,"04363210,02781338","surface-to-air missile,SAM,ballistic missile","-0.38387856\,0.9233836\,0.0","0.0\,0.0\,1.0",RIM-161 Standard Missile 3 Block-II (please rate),
3dw.bb07f8aea99dd2cd533e0927d26599e2,04363210,"surface-to-air missile,SAM","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Airbrush,
3dw.e7bd2548af6584878b95fd0292417266,"04363210,03773504,02693413","surface-to-air missile,SAM,missile,air-to-air missile","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",AGM-114 Hellfire Missile,
3dw.b6a04a1ad7e71394973c59607554704c,"03773504,02693413","missile,air-to-air missile","0.0\,0.0\,1.0","1.0\,0.0\,0.0",AMRAAM-Z Mark I Missile,
3dw.3a571503ba7f70c73df4fa4547276fc2,"03773504,02693413","missile,air-to-air missile","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",AIM-7 M Sparrow air to air missile,
3dw.60e62b419220c21e1a18bc096aeb4c21,03773504,missile,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",UN Aim-975 Air - Air radar guided missile AMRAAM,
3dw.94a4ecdcaf34f9ade07c6fee8d4d96ce,"03773504,02693413","missile,air-to-air missile","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",AGM-84 C Harpoon Anti-Ship Missle,
3dw.4bebae2aeb3e9c0d2ec5ae9242443840,"03773504,04099429,02781338","missile,rocket,projectile,ballistic missile","-0.9260923\,-0.37729686\,0.0","0.0\,0.0\,1.0",Atlas ICBM,
3dw.e02e5bc1a52b63523df4fa4547276fc2,"03773504,02693413","missile,air-to-air missile","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",AGM-84 E SLAM Harpoon air to ground missile,
3dw.66e0f9388b2eb6bedb7e97e28dbb721,03773504,missile,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Missile,
3dw.d6c905e92a1da84fac912b2d8003cafc,"03773504,04099429","missile,rocket,projectile","0.9225799\,0.3858061\,0.0","0.0\,0.0\,1.0000001",Rocket,
3dw.3e75a7a2f8f602df390a81c7a00f98eb,03773504,missile,"0.3807498\,-0.924678\,0.0","0.0\,0.0\,1.0",missile miuteman III,
