fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.6cd9f0f548979d5160ddc468fe733ed1,"03909406,03047052,03046257","pendulum clock,clock tower,clock","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",clock tower2,
3dw.b13143d5f71e38d24738aee9841818fe,"03046257,03047052,04361260","clock,clock tower,supporting tower","0.0\,0.0\,1.0","0.9216354\,-0.38805702\,0.0",Saint Louis University Clock Tower,
3dw.7344d6188932b2de72f6aef300d24d64,04460130,tower,"0.0\,0.0\,1.0","-0.8944272\,0.4472136\,0.0",Skyscraper,
3dw.7feb6c263e565cfb16a06efd4ad41db2,04460130,tower,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",watch tower,
3dw.c6e94a8464305378cedded8270815eaf,04460130,tower,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",New Mombasa Twin towers,
3dw.7696d47199f9055a79ea17c9c8a4feb0,03519387,"high-rise,tower block","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Japanese High Rise,
3dw.a2beb5f14190c1702637f1559971e0a6,03519387,"high-rise,tower block","0.0\,0.0\,1.0","-0.92847675\,0.3713907\,0.0",Torre Medi (Murcia),
3dw.b7600836218f2556e86e8111763264e,03519387,"high-rise,tower block","0.0\,0.0\,1.0","-0.9284767\,0.3713907\,0.0",Mixed Used Occupancy High Rise Rough Preliminary Design,
3dw.547e1ef6922840b23899914213d0efde,03519387,"high-rise,tower block","0.0\,0.0\,1.0","-0.8944272\,0.4472136\,0.0",Ayala Triangle Tower One,
3dw.a422b6788bb8b2d5663d09b37dd6bd68,04501947,turret,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Castle Turret,
3dw.6b78705cd18a7b7767b959cddc3d22e,04501947,turret,"0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",EPIC Roman Turret,
3dw.3668753b904e53c4b96aa5dc23c036c,04501947,turret,"0.0\,0.0\,1.0000001","-0.92554694\,0.37863284\,0.0",Roman Tower,
3dw.90e931890719c1b43d36e0a1be1c720,04501947,turret,"0.0\,0.0\,1.0","-0.9246781\,0.3807498\,0.0",awsome textured alien craft,
3dw.92e4cc97df1ebe141203ec4ca6ccf208,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0000001","-0.39391926\,0.919145\,0.0","Cape Jaffa Lighthouse, South Australia",
3dw.70ea9d97de7de827221d54273fff89cf,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",Shell Light House Gas Station,
3dw.f679821836f140f39ebe905ef4009f84,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Oz Point Lighthouse,
3dw.d9b4d966b63ba5e12a83093ac1bb2d64,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0","0.70710677\,0.70710677\,0.0",Pharos lamp,
3dw.5495ec547c13d8f2de1c31612629d3dc,"02814860,04312432,04556948","beacon,lighthouse,beacon light,pharos,steeple,spire,watchtower","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Mud-Brick Village,
3dw.5b0dc77df3bd924c25ed5c2b422915db,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Pharos Lighthouse by Traianus,
3dw.48d4e52fb735e6b6599d77531b1d13a9,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0000001","-1.0000001\,0.0\,0.0",Light House,
3dw.34e391f9e9a72f97c5e86946f2168706,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0","0.0\,1.0\,0.0",Sniper Ghost Warrior - Lighthouse,
3dw.614ba760fb825f93ad5067eac75a07f7,02814860,"beacon,lighthouse,beacon light,pharos","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Forms+Surfaces® Lighthouse Bollard,
3dw.3a1e36329722686c2c406efbeb1811b0,"02826886,03047052,03046257","bell tower,clock tower,clock","0.0\,0.0\,1.0","-0.70710677\,0.70710677\,0.0",Purdue University Clock Tower,
3dw.c47a34f2a3acdc0bce8973e274e9f27f,02826886,bell tower,"0.0\,0.0\,1.0000001","-1.0000001\,0.0\,0.0",A Bell Tower,
3dw.2af6c073f8b0ece92030f08aa0abc03e,02826886,bell tower,"0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",tower1,
3dw.6e87ad11e8c3c273af621148ecacc588,02826886,bell tower,"0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Old Dillsboro Masonic Building,
3dw.1f1f62c52fe4d27946fb3db517d0dfc0,02826886,bell tower,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",Bell Tower,
