fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.6f4ac6a0940302a31307b8e7d9f7be90,04468005,"train,railroad train","0.0\,0.0\,1.0","0.0\,-1.0\,0.0","Steam Locomotive- ""Kylie Bug"" and 2 Carriages",
3dw.79e1589916d42685dc14ba0818ee5cec,"04468005,03394480","train,railroad train,freight train,rattler","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",UP Locomotive,
3dw.d2e368bd92b5180fa68662d570e5f2cd,04468005,"train,railroad train","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Reading Railroad Blueliner Train (work in progress),
3dw.fc3f81e5a2bfc2a08be7c8c5fdb9bd6d,04468005,"train,railroad train","0.0\,0.0\,1.0","-1.0\,0.0\,0.0","""Eco Rail Track""... ""6100 Royal Scot""..  ""Dummy""... Old Steam Days..",
3dw.a2a67baf798eaa72dd8e272fd230200,04468005,"train,railroad train","0.0\,0.0\,1.0","1.0\,0.0\,0.0",EMD GP30C,
3dw.1c05fbffc0d5e60734813c288b6689c7,"04468005,03896233","train,railroad train,passenger train","0.0\,0.0\,1.0","0.0\,-1.0\,0.0","AVE ""Alstorm"" Bullet Train",
3dw.b3d1c0e95d344ec1dc14ba0818ee5cec,"04468005,03394480","train,railroad train,freight train,rattler","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",SP Locomotive,
3dw.2158a6182c1be38a4b0b2e6e63122009,04468005,"train,railroad train","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",SBB Ce 6/8 II (crocodile),
3dw.773aeb7f76f9a0c4dc14ba0818ee5cec,"04468005,03394480","train,railroad train,freight train,rattler","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",GN Locomotive (Big Sky Blue),
3dw.fa69b96acfc4ab67d6d91af432c7bb1b,04468005,"train,railroad train","0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",steam train,
