fullId,wnsynset,wnlemmas,up,front,name,tags
3dw.dbe0b25edb8508babcf922304761e55e,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Chevrolet Corvette C1 1957,
3dw.72f56235cf1e18cf1ccbd9e5bb82dd04,03100240,convertible,"0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Renault Megane II Cupe (Tuning),
3dw.e308a6e4472658b618e9d35559b7aa,"03100240,02958343,04037443","convertible,car,auto,automobile,machine,motorcar,racer,race car,racing car","0.0\,0.0\,1.0","1.0\,0.0\,0.0",Tuned Mercedes-Benz SL65 AMG,
3dw.202fbaeffaf49f4b61c6c61410fc904b,"03100240,02958343","convertible,car,auto,automobile,machine,motorcar","0.0\,0.0\,1.0","1.0\,0.0\,0.0",1974 Cadillac Sedan Deville Limousine Cabriolet,
3dw.993bd3b6fe7c6e32cbb047938846b5c7,"03100240,03119396","convertible,coupe","0.0\,0.0\,1.0","1.0\,0.0\,0.0",BMW 316i Coupe convertable,
3dw.316086c3587f9c07d4db32f454eb6c4e,"03100240,02958343,03119396","convertible,car,auto,automobile,machine,motorcar,coupe","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Lamborghini Gallardo Coupe Convertible - CC,
3dw.cdba926f41c3b1ce92dd8154d7e0933a,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",TAK - Ferrari F430,
3dw.543a6562ae746ed45daf03c341f7f599,"03100240,02958343","convertible,car,auto,automobile,machine,motorcar","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",BMW Z4,
3dw.70048a705ad4363642db06daf723ec44,"03100240,02958343","convertible,car,auto,automobile,machine,motorcar","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",tuned acura(honda) nsx wide,
3dw.35a32cbdfd9e7ba460ed0d611ab79ae0,03100240,convertible,"0.0\,0.0\,1.0","0.0\,1.0\,0.0",Another Modified Audi R8 (Tuned),
3dw.202648a87dd6ad2573e10a7135e947fe,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Modified Ferrari Enzo Convertible,
3dw.96bf8cb730f728414a383db4764d5432,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Dodge Viper SRT-10 ACR roadster,
3dw.94a78fc51f84fa839ea5c205086e2a63,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",BMW Z4,
3dw.d0552c332fd0182df3cf3d2cc3dcb043,"03100240,04322801,02958343,03119396","convertible,stock car,car,auto,automobile,machine,motorcar,coupe","0.0\,0.0\,1.0000001","0.0\,1.0000001\,0.0",Modified 2008 Chevrolet Corvette C6,
3dw.fe16b8e790f23ab8c6fcb4b4f04936c2,03100240,convertible,"0.0\,0.0\,1.0","0.0\,1.0\,0.0",Fiat X1/9,
3dw.2696ef55dc264b8cbba9b483d5f3874e,"03100240,04097373","convertible,roadster,runabout,two-seater","0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",tuned bmw z4,
3dw.54d525937d9c6921afe717997470b28d,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",2012 Chevrolet Camaro ZL1 Convertible,
3dw.5efb2b4cda03da10e047028ded406033,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Bugatti Veyron Ultra,
3dw.4acc28685ab111b672601793664460d,"03100240,04097373","convertible,roadster,runabout,two-seater","0.0\,0.0\,1.0","-1.0\,0.0\,0.0",2010 Intervention S4 Roadster,
3dw.6a02e129dabcea8ba7dc87c65b6a70a,"03100240,04037443","convertible,racer,race car,racing car","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Dodge Viper RT/20th Anniversary MR Design,
3dw.e2349120e4c089ef2fb4628a7a8b337f,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",BMW Cabrio,
3dw.9d3fd293f6b9e46f28044fe9244db50a,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",chevrolet nova SS 327 convertible,
3dw.8202d2165aaff4c05fb2da48d9c8120d,03100240,convertible,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Custom Dodge Viper GTS,
3dw.397d2e2b3e0988a2d3901a534bc610d8,03100240,convertible,"0.0\,0.0\,1.0000001","0.0\,-1.0000001\,0.0",Walid S30 Spider,
3dw.476a54545e873ddf6cfecb6c9c824fc6,03100240,convertible,"0.0\,0.0\,1.0000001","1.0000001\,0.0\,0.0",Custom Ford Fiesta Mk1,
3dw.af0a12fa33b063ee38ceb1581969287d,03100240,convertible,"0.0\,0.0\,1.0","-1.0\,0.0\,0.0",BMW M3 Convertible,
3dw.5ebc7e111e9d0b5d473f10e6caaeca56,03100240,convertible,"0.0\,0.0\,1.0","1.0\,0.0\,0.0",Rogue Paramount Convertible,
3dw.43be650d6fd7468fd9952f9e00a53f0e,"03100240,04097373","convertible,roadster,runabout,two-seater","0.0\,0.0\,1.0","0.0\,-1.0\,0.0",FERRARI  ITALIA 458 ROADSTER SCUDERIA,
3dw.61251733434b9b0c15a23f2b45e10de5,03100240,convertible,"0.0\,0.0\,1.0","0.0\,-1.0\,0.0",Honda S2000,
3dw.105dedf1b70c2826b2dcc642c86ae8f4,03100240,convertible,"0.0\,0.0\,1.0","-1.0\,1.8367348E-16\,0.0",Lamborghini Murcielago,
3dw.17bf28a8d9b5a7ccb5e3401710af905a,03100240,convertible,"0.0\,0.0\,1.0","1.0\,0.0\,0.0",BMW E36 M3 convertible,
